Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
1929/3/31,-4.7,-2.9,-4.19,-9.83,-7.05,-7.65,-5.32,-1.5,-3.37,-7.27,-6.13,-0.07,-4.2,5.25,-1.34,0.69,4.1,-6.52,12.07,-3.17,4.29,-1.42,1.92,1.52,-2.84,-9.57,-5.13,-3.53,-1.15,-7.41
1929/4/30,3.68,13.63,-2.41,0.67,1.73,0.56,3.62,1.48,3.76,2.74,3.72,1.15,4.23,1.06,-1.23,-0.28,-5.86,-2.17,0.89,5.13,3.39,3.94,4.28,7.91,1.32,3.58,3.56,10.37,0.51,-10.73
1929/5/31,-5.1,-11,-0.21,-8.07,0.31,-10.37,-6.54,-7.84,-7.02,-13.86,-6.89,-12.41,-9.66,0.83,-15.16,-7.7,-10.99,-4.98,-5.6,4.8,-8.77,-4.92,-1.35,-8.17,2.47,-6.54,-8.85,-2.9,-3.23,-13.21
1929/6/30,8.09,12.51,-0.13,5.91,10.64,14.71,5.63,4.52,19.98,2.5,7.65,10.71,15.25,19.23,6.86,10.74,2.42,2.18,1.09,23.47,13.7,19.01,9.99,12.59,6,-2.97,9.21,19.11,6.3,5.08
1929/7/31,4.89,1.61,2.05,-2.19,0.94,6.55,-3.99,2.59,5.12,-3.68,3.96,3.47,5.22,10.1,-3.92,5.02,-2.36,19.82,-0.86,9.14,13.68,-0.73,5.72,6.81,8.29,-3.01,1.06,1.83,8.36,4.49
1929/8/31,4.17,9.79,8.29,6.21,1.5,3.52,0.97,3.09,11.82,0.26,2.92,11.82,10.62,13.38,2.03,1.99,8.92,5.26,11.74,9.05,10.98,-3.71,8.98,9.45,8.31,-5.79,8.15,4.71,5.82,-2.99
1929/9/30,-2.29,-2.26,-7.62,-1.64,-1.71,6.79,-4.11,-7.02,-6.79,-3.25,-3.02,-8.96,-5.76,-11.47,-8.98,-9.12,-4.79,-2.05,-3.01,1.32,-1.37,38.7,9.8,-4.59,-7.71,-0.66,-5.62,-3.21,-5.75,-0.18
1929/10/31,-14.57,-26.26,2.32,-17.34,-12.22,-32.46,-9.33,-18.02,-24.67,-21.32,-16.98,-15.5,-22.42,-30.2,-28.11,-21.63,-13.02,-6.64,-10.27,-30.04,-15.39,-13.59,-18.93,-14.84,-8.03,-23.2,-24.13,-19.59,-28.84,-32.63
1929/11/30,-9.53,-11.85,-6.2,-18.01,-3.36,-14.73,-10.24,-7.9,-16.04,-15.81,-10.64,-13.83,-13.97,-18.35,-17.63,-10.34,-15,-4.77,-6.52,-14.64,-9.47,-9.98,-21.96,-14.21,-7.88,-6.67,-12.48,-10.28,-13.88,-15.3
1929/12/31,-0.12,2.03,2.72,-8.7,0.21,1.13,3.7,1.11,6.35,-6.26,-1.29,-0.45,3.26,12.8,3.97,3.16,-1.7,-5.55,-0.91,7.94,1.01,-1.83,4.2,-0.3,0,-0.81,-6.48,3.67,-0.4,-8.66
1930/1/31,5.05,-8.61,8.56,28.12,2.1,10.32,3.68,2.55,8.17,10.5,7.19,5.69,8.43,10.95,6.38,2.4,6.09,0.33,-0.82,7.25,1.2,-48.85,9.43,7.57,3.87,3.11,4.41,11.73,9.74,31.78
1930/2/28,-0.02,1.15,5.52,17.18,6.92,-8.89,-0.32,3.15,2.46,5.7,0.6,0.09,4.73,7.83,3.61,6.28,-0.94,4.52,-5.04,8.57,7.06,58.9,7.45,8.34,2.09,-4.62,-5.35,0.15,5.85,-1.97
